published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2026-09-08T12:49:05+0000,Eminönü’nün kalabalığından bir kapı içeri…  #defnegünlüğü #istanbul #validehan #,144,121,0,1,1,10,16,https://www.instagram.com/reel/DdBt5Tgo_6P/,18379300486224429
2026-09-06T17:05:35+0000,"Bostandan kareler. Kurayı sormaya gitmiştim; çay çıktı, sohbet uzadı, poşetime f",,,,,,,,https://www.instagram.com/p/Dc9CFNSCADS/,18221150425318980
2026-09-04T07:59:40+0000,Kuzguncuk'a geri döndüm. Bu sefer bostan için. Toprak burada kiralanmıyor; muhta,1779,1384,1,2,2,25,31,https://www.instagram.com/reel/Dc257faog0I/,17894782887656394
2026-09-02T10:00:02+0000,Bir saat uğrarım diye çıkıp gecenin sonuna kadar kaldığım akşamlardan.,,,,,,,,https://www.instagram.com/p/Dcx-PW2CPS1/,18102725828217245
2026-08-31T18:10:51+0000,#defnegünlüğü #sergi #istanbul #istanbuldasanat #şehirdebirgün,122,103,0,1,1,9,11,https://www.instagram.com/reel/DctsqV5A4SS/,18026351075890580
2026-08-29T12:08:38+0000,#istanbul #defnegünlüğü #kuzguncuk #cumartesi #i̇stanbuldayasam,656,562,1,2,2,15,21,https://www.instagram.com/reel/Dcn5XM4oyRU/,17952032562254531
2026-08-24T12:07:11+0000,#defnegünlüğü #istanbul #fenerrumklisesi #fotoğraf,1415,1154,0,4,1,13,19,https://www.instagram.com/reel/DcbBW1hIyvF/,18004214138986307
2026-08-10T18:45:59+0000,#defnegünlüğü #istanbul #kamondomerdivenleri #günlükhayat #saklıköşe,196,148,0,2,1,5,8,https://www.instagram.com/reel/Db3r-1zKbGs/,17892065184666413
2026-08-07T12:41:38+0000,#defnegünlüğü #evdeegsersiz #saglikliyasam #günlükhayat #kendinezamanayır,183,145,0,1,1,6,8,https://www.instagram.com/reel/DbvTxM0IRsh/,17940942852297617
2026-08-06T15:43:46+0000,#defnegünlüğü #yaz #karpuz #yazhavası #günlükhayat,178,136,0,0,2,6,8,https://www.instagram.com/reel/DbtDrVNIT-U/,18075496643383694
2026-08-05T10:15:02+0000,#defnegünlüğü #günlükhayat #evdengünler #ütüzamanı #evrutini,166,136,0,0,2,5,7,https://www.instagram.com/reel/Dbp5dm9olp5/,17862604437661534
2026-08-03T18:00:11+0000,#defnegünlüğü #açıkhavakonseri #festival #anıyaşa #istanbul,173,134,0,0,2,6,8,https://www.instagram.com/reel/DbllNmLoHhq/,18102222904929293
2026-08-02T19:06:56+0000,#defnegünlüğü #film #pazarkeyfi #perfectdays❤️ #mubitürkiye,252,208,0,0,3,6,9,https://www.instagram.com/reel/DbjIDqWooVN/,17948735388027600
2026-08-02T17:20:59+0000,#defnegünlüğü #istanbul #dondurma #yenikoy #pazarkeyfi,162,124,0,0,2,5,7,https://www.instagram.com/reel/Dbi777UIYXO/,17876860164653019
2026-08-02T15:35:47+0000,#defnegünlüğü #piknik #haftasonu #doğa #istanbul,170,142,0,0,2,5,7,https://www.instagram.com/reel/Dbiv32IoUQO/,18214919962338302
