published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2026-08-29T12:08:38+0000,#istanbul #defnegünlüğü #kuzguncuk #cumartesi #i̇stanbuldayasam,238,191,0,2,2,6,10,https://www.instagram.com/reel/Dcn5XM4oyRU/,17952032562254531
2026-08-24T12:07:11+0000,#defnegünlüğü #istanbul #fenerrumklisesi #fotoğraf,1394,1141,0,4,1,10,16,https://www.instagram.com/reel/DcbBW1hIyvF/,18004214138986307
2026-08-10T18:45:59+0000,#defnegünlüğü #istanbul #kamondomerdivenleri #günlükhayat #saklıköşe,183,138,0,2,1,3,6,https://www.instagram.com/reel/Db3r-1zKbGs/,17892065184666413
2026-08-07T12:41:38+0000,#defnegünlüğü #evdeegsersiz #saglikliyasam #günlükhayat #kendinezamanayır,167,134,0,1,1,4,6,https://www.instagram.com/reel/DbvTxM0IRsh/,17940942852297617
2026-08-06T15:43:46+0000,#defnegünlüğü #yaz #karpuz #yazhavası #günlükhayat,167,129,0,0,2,4,6,https://www.instagram.com/reel/DbtDrVNIT-U/,18075496643383694
2026-08-05T10:15:02+0000,#defnegünlüğü #günlükhayat #evdengünler #ütüzamanı #evrutini,158,130,0,0,2,3,5,https://www.instagram.com/reel/Dbp5dm9olp5/,17862604437661534
2026-08-03T18:00:11+0000,#defnegünlüğü #açıkhavakonseri #festival #anıyaşa #istanbul,164,127,0,0,2,4,6,https://www.instagram.com/reel/DbllNmLoHhq/,18102222904929293
2026-08-02T19:06:56+0000,#defnegünlüğü #film #pazarkeyfi #perfectdays❤️ #mubitürkiye,246,202,0,0,3,4,7,https://www.instagram.com/reel/DbjIDqWooVN/,17948735388027600
2026-08-02T17:20:59+0000,#defnegünlüğü #istanbul #dondurma #yenikoy #pazarkeyfi,151,117,0,0,2,3,5,https://www.instagram.com/reel/Dbi777UIYXO/,17876860164653019
2026-08-02T15:35:47+0000,#defnegünlüğü #piknik #haftasonu #doğa #istanbul,164,137,0,0,2,3,5,https://www.instagram.com/reel/Dbiv32IoUQO/,18214919962338302
2026-08-01T20:04:06+0000,#defnegünlüğü #cumartesi #eğlence #cumartesigecesiateşi #eğlance,167,126,0,0,1,3,4,https://www.instagram.com/reel/Dbgps2iIG_F/,17999383688790254
2026-08-01T17:58:55+0000,#defnegünlüğü #cumartesi #bisiklet #yaşam #boğaz,1324,1122,2,1,2,8,14,https://www.instagram.com/reel/DbgbfXiIbk5/,18097494932363336
2026-07-31T12:17:25+0000,#defnegünlüğü #pazar #gunlukhayat #semtpazarı #istanbul,176,149,0,0,1,5,6,https://www.instagram.com/reel/DbdPS0fIZfa/,18094214393573268
2026-07-30T16:35:18+0000,#sabahkoşusu #defnegünlüğü #gündogumu #boğaz #yaşamdan,61,44,0,0,1,2,3,https://www.instagram.com/reel/DbbIQMhoHHn/,18070548440735627
2026-07-30T10:12:04+0000,#defnegünlüğü #çizim #üretmekgüzel  #illustration #cizer,,,,,,,,https://www.instagram.com/p/DbacX57o7Lt/,17901017358490042
2026-07-29T13:49:32+0000,#defnegünlüğü #çizim #üretmekgüzel #illüstrasyon #cizer,51,24,0,0,1,4,5,https://www.instagram.com/reel/DbYQir-oAFO/,18008222264938790
2026-07-28T18:30:16+0000,#balkon #evhayatı #akşam #gunbatimi #sehirhayati,187,131,2,0,1,6,10,https://www.instagram.com/reel/DbWL0mvoGOb/,18086921123448153
